two_theta_deg,intensity
8.359999999999928377e+00,1.653560449428474840e+03
8.379999999999927951e+00,1.658911493942337984e+03
8.399999999999927525e+00,1.664289463676574996e+03
8.419999999999927098e+00,1.669694543126915278e+03
8.439999999999926672e+00,1.675126918390813444e+03
8.459999999999926246e+00,1.680586777184291350e+03
8.479999999999925819e+00,1.686074308858994755e+03
8.499999999999925393e+00,1.691589704419458940e+03
8.519999999999924967e+00,1.697133156540584650e+03
8.539999999999924540e+00,1.702704859585340273e+03
8.559999999999924114e+00,1.708305009622672287e+03
8.579999999999923688e+00,1.713933804445652413e+03
8.599999999999923261e+00,1.719591443589839400e+03
8.619999999999922835e+00,1.725278128351879559e+03
8.639999999999922409e+00,1.730994061808335573e+03
8.659999999999921982e+00,1.736739448834752693e+03
8.679999999999921556e+00,1.742514496124967536e+03
8.699999999999921130e+00,1.748319412210659038e+03
8.719999999999920703e+00,1.754154407481141561e+03
8.739999999999920277e+00,1.760019694203419476e+03
8.759999999999919851e+00,1.765915486542483677e+03
8.779999999999919424e+00,1.771842000581876619e+03
8.799999999999918998e+00,1.777799454344510650e+03
8.819999999999918572e+00,1.783788067813758289e+03
8.839999999999918145e+00,1.789808062954808520e+03
8.859999999999917719e+00,1.795859663736297080e+03
8.879999999999917293e+00,1.801943096152215276e+03
8.899999999999916866e+00,1.808058588244098019e+03
8.919999999999916440e+00,1.814206370123501983e+03
8.939999999999916014e+00,1.820386673994767762e+03
8.959999999999915588e+00,1.826599734178080325e+03
8.979999999999915161e+00,1.832845787132828036e+03
8.999999999999914735e+00,1.839125071481264058e+03
9.019999999999914309e+00,1.845437828032471771e+03
9.039999999999913882e+00,1.851784299806649415e+03
9.059999999999913456e+00,1.858164732059705557e+03
9.079999999999913030e+00,1.864579372308179927e+03
9.099999999999912603e+00,1.871028470354486899e+03
9.119999999999912177e+00,1.877512278312495027e+03
9.139999999999911751e+00,1.884031050633437417e+03
9.159999999999911324e+00,1.890585044132170196e+03
9.179999999999910898e+00,1.897174518013771376e+03
9.199999999999910472e+00,1.903799733900494175e+03
9.219999999999910045e+00,1.910460955859077785e+03
9.239999999999909619e+00,1.917158450428421020e+03
9.259999999999909193e+00,1.923892486647624082e+03
9.279999999999908766e+00,1.930663336084401180e+03
9.299999999999908340e+00,1.937471272863877630e+03
9.319999999999907914e+00,1.944316573697768945e+03
9.339999999999907487e+00,1.951199517913952150e+03
9.359999999999907061e+00,1.958120387486434083e+03
9.379999999999906635e+00,1.965079467065724430e+03
9.399999999999906208e+00,1.972077044009616429e+03
9.419999999999905782e+00,1.979113408414386186e+03
9.439999999999905356e+00,1.986188853146412157e+03
9.459999999999904929e+00,1.993303673874223477e+03
9.479999999999904503e+00,2.000458169100988698e+03
9.499999999999904077e+00,2.007652640197441087e+03
9.519999999999903650e+00,2.014887391435256632e+03
9.539999999999903224e+00,2.022162730020889057e+03
9.559999999999902798e+00,2.029478966129866876e+03
9.579999999999902371e+00,2.036836412941563140e+03
9.599999999999901945e+00,2.044235386674442907e+03
9.619999999999901519e+00,2.051676206621797064e+03
9.639999999999901092e+00,2.059159195187969090e+03
9.659999999999900666e+00,2.066684677925085907e+03
9.679999999999900240e+00,2.074252983570295328e+03
9.699999999999899813e+00,2.081864444083524631e+03
9.719999999999899387e+00,2.089519394685759835e+03
9.739999999999898961e+00,2.097218173897867473e+03
9.759999999999898534e+00,2.104961123579951618e+03
9.779999999999898108e+00,2.112748588971266599e+03
9.799999999999897682e+00,2.120580918730692702e+03
9.819999999999897256e+00,2.128458464977773474e+03
9.839999999999896829e+00,2.136381583334343759e+03
9.859999999999896403e+00,2.144350632966734793e+03
9.879999999999895977e+00,2.152365976628582757e+03
9.899999999999895550e+00,2.160427980704247148e+03
9.919999999999895124e+00,2.168537015252841229e+03
9.939999999999894698e+00,2.176693454052895049e+03
9.959999999999894271e+00,2.184897674647653275e+03
9.979999999999893845e+00,2.193150058391021503e+03
9.999999999999893419e+00,2.201450990494174675e+03
1.001999999999989299e+01,2.209800860072832620e+03
1.003999999999989257e+01,2.218200060195218157e+03
1.005999999999989214e+01,2.226648987930705516e+03
1.007999999999989171e+01,2.235148044399178616e+03
1.009999999999989129e+01,2.243697634821093288e+03
1.011999999999989086e+01,2.252298168568281199e+03
1.013999999999989043e+01,2.260950059215480906e+03
1.015999999999989001e+01,2.269653724592630624e+03
1.017999999999988958e+01,2.278409586837918596e+03
1.019999999999988916e+01,2.287218072451615626e+03
1.021999999999988873e+01,2.296079612350694333e+03
1.023999999999988830e+01,2.304994641924257849e+03
1.025999999999988788e+01,2.313963601089777967e+03
1.027999999999988745e+01,2.322986934350173669e+03
1.029999999999988702e+01,2.332065090851729110e+03
1.031999999999988660e+01,2.341198524442872895e+03
1.033999999999988617e+01,2.350387693733832748e+03
1.035999999999988574e+01,2.359633062157181485e+03
1.037999999999988532e+01,2.368935098029282926e+03
1.039999999999988489e+01,2.378294274612663685e+03
1.041999999999988447e+01,2.387711070179317630e+03
1.043999999999988404e+01,2.397185968074962602e+03
1.045999999999988361e+01,2.406719456784270278e+03
1.047999999999988319e+01,2.416312029997077843e+03
1.049999999999988276e+01,2.425964186675599649e+03
1.051999999999988233e+01,2.435676431122669328e+03
1.053999999999988191e+01,2.445449273051008277e+03
1.055999999999988148e+01,2.455283227653560516e+03
1.057999999999988106e+01,2.465178815674891666e+03
1.059999999999988063e+01,2.475136563483692044e+03
1.061999999999988020e+01,2.485157003146387069e+03
1.063999999999987978e+01,2.495240672501880454e+03
1.065999999999987935e+01,2.505388115237450620e+03
1.067999999999987892e+01,2.515599880965822649e+03
1.069999999999987850e+01,2.525876525303427570e+03
1.071999999999987807e+01,2.536218609949887195e+03
1.073999999999987764e+01,2.546626702768723135e+03
1.075999999999987722e+01,2.557101377869333191e+03
1.077999999999987679e+01,2.567643215690251509e+03
1.079999999999987637e+01,2.578252803083706112e+03
1.081999999999987594e+01,2.588930733401505677e+03
1.083999999999987551e+01,2.599677606582282806e+03
1.085999999999987509e+01,2.610494029240112468e+03
1.087999999999987466e+01,2.621380614754526505e+03
1.089999999999987423e+01,2.632337983361966508e+03
1.091999999999987381e+01,2.643366762248676878e+03
1.093999999999987338e+01,2.654467585645085364e+03
1.095999999999987295e+01,2.665641094921688818e+03
1.097999999999987253e+01,2.676887938686472353e+03
1.099999999999987210e+01,2.688208772883893289e+03
1.101999999999987168e+01,2.699604260895450807e+03
1.103999999999987125e+01,2.711075073641882227e+03
1.105999999999987082e+01,2.722621889687012299e+03
1.107999999999987040e+01,2.734245395343273685e+03
1.109999999999986997e+01,2.745946284778948211e+03
1.111999999999986954e+01,2.757725260127156162e+03
1.113999999999986912e+01,2.769583031596610454e+03
1.115999999999986869e+01,2.781520317584196619e+03
1.117999999999986827e+01,2.793537844789382234e+03
1.119999999999986784e+01,2.805636348330522651e+03
1.121999999999986741e+01,2.817816571863066656e+03
1.123999999999986699e+01,2.830079267699722095e+03
1.125999999999986656e+01,2.842425196932606923e+03
1.127999999999986613e+01,2.854855129557429336e+03
1.129999999999986571e+01,2.867369844599728822e+03
1.131999999999986528e+01,2.879970130243222684e+03
1.133999999999986485e+01,2.892656783960299890e+03
1.135999999999986443e+01,2.905430612644696339e+03
1.137999999999986400e+01,2.918292432746404756e+03
1.139999999999986358e+01,2.931243070408848325e+03
1.141999999999986315e+01,2.944283361608370797e+03
1.143999999999986272e+01,2.957414152296094926e+03
1.145999999999986230e+01,2.970636298542171517e+03
1.147999999999986187e+01,2.983950666682497285e+03
1.149999999999986144e+01,2.997358133467918833e+03
1.151999999999986102e+01,3.010859586216001389e+03
1.153999999999986059e+01,3.024455922965381887e+03
1.155999999999986017e+01,3.038148052632784129e+03
1.157999999999985974e+01,3.051936895172735603e+03
1.159999999999985931e+01,3.065823381740033255e+03
1.161999999999985889e+01,3.079808454855033688e+03
1.163999999999985846e+01,3.093893068571798722e+03
