two_theta_deg,intensity
2.877999999999981284e+01,3.058339589645160572e+02
2.879999999999981242e+01,3.066073951030707576e+02
2.881999999999981199e+01,3.073838768518778579e+02
2.883999999999981156e+01,3.081634205219388605e+02
2.885999999999981114e+01,3.089460425347849082e+02
2.887999999999981071e+01,3.097317594233833233e+02
2.889999999999981029e+01,3.105205878330522751e+02
2.891999999999980986e+01,3.113125445223845418e+02
2.893999999999980943e+01,3.121076463641802547e+02
2.895999999999980901e+01,3.129059103463885094e+02
2.897999999999980858e+01,3.137073535730579579e+02
2.899999999999980815e+01,3.145119932652971784e+02
2.901999999999980773e+01,3.153198467622435146e+02
2.903999999999980730e+01,3.161309315220419194e+02
2.905999999999980687e+01,3.169452651228336890e+02
2.907999999999980645e+01,3.177628652637533264e+02
